RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
,Justin Wright-Foreman,Uta,G,22.8,4,11.3,23.5,23.9,12.1,4,0.75,10,0.5,10,0.2,0.4,0.437,4.8,1.3,6.1,1.8,22.9,0.5,0.0,0.75,7.9,92.8,100.6
,Marco Belinelli,San,G,34.39,57,15.5,32.3,17.5,5.3,58,0.828,136,0.412,178,0.376,0.498,0.532,6.3,1.7,6.0,1.2,10.7,0.21,0.02,0.33,6.0,109.6,113.5
,Cory Joseph,Sac,G,28.99,72,24.4,50.9,12.9,15.3,70,0.857,253,0.455,159,0.352,0.483,0.517,6.4,2.6,6.0,3.5,19.1,0.74,0.29,1.11,6.4,110.1,109.6
,Luke Kennard,Det,G,24.14,28,32.9,68.6,19.8,10.3,75,0.893,159,0.491,183,0.399,0.548,0.589,15.8,3.5,6.0,4.1,19.2,0.43,0.21,1.54,7.4,117.5,110.8
,Damian Lillard,Por,G,30.09,66,37.5,78.1,30.3,11.0,518,0.888,674,0.525,674,0.401,0.563,0.628,30.0,4.3,6.0,8.0,34.4,1.06,0.33,2.94,10.8,126.1,115.5
,Sindarius Thornwell,Nor,G,25.75,2,17.8,37.0,17.0,13.6,4,0.5,7,0.571,4,0.5,0.636,0.627,8.0,2.0,6.0,2.0,15.9,0.5,0.5,1.0,7.1,115.2,111.0
,Kyle Guy,Sac,G,23.01,3,3.2,6.7,22.6,0.0,0,0.0,2,1.0,3,0.0,0.4,0.4,1.3,0.3,5.9,0.3,16.4,0.0,0.0,0.0,6.1,,
,Malik Beasley,Den,G,23.72,41,18.2,37.9,20.6,10.2,38,0.868,140,0.421,161,0.36,0.485,0.511,7.9,1.9,5.8,1.2,9.1,0.76,0.15,0.88,5.8,99.7,108.6
,Jordan Clarkson,Cle,G,28.19,29,23.0,47.8,25.9,9.7,86,0.884,167,0.509,159,0.371,0.532,0.581,14.6,2.4,5.8,2.4,17.1,0.59,0.28,1.34,7.6,116.0,114.9
,Damyean Dotson,Nyk,G,26.28,48,17.4,36.3,16.5,6.5,33,0.667,127,0.48,163,0.362,0.516,0.527,6.7,1.9,5.8,1.2,10.0,0.48,0.08,0.44,5.7,109.6,112.8
,Tim Hardaway Jr.,Dal,G,28.41,71,29.5,61.4,21.1,6.7,182,0.819,371,0.485,513,0.398,0.55,0.581,15.8,3.3,5.8,1.9,9.7,0.61,0.07,0.97,6.3,115.4,110.0
,Garrison Mathews,Was,G,23.81,18,12.6,26.3,14.4,10.1,34,0.912,10,0.5,46,0.413,0.598,0.691,5.4,1.3,5.8,0.6,5.8,0.44,0.06,0.44,5.1,132.2,105.9
,Trey Burke,Phi,G,27.75,25,13.1,27.4,19.2,8.2,18,0.722,89,0.483,38,0.421,0.528,0.545,5.9,1.4,5.7,2.1,24.0,0.28,0.04,0.48,7.9,118.1,108.9
,Alex Caruso,Lal,G,26.46,64,18.4,38.3,13.8,13.8,94,0.734,171,0.468,120,0.333,0.481,0.525,5.5,1.9,5.7,2.0,13.7,1.09,0.28,0.83,6.0,107.0,101.6
,Spencer Dinwiddie,Bro,G,27.36,64,31.2,64.9,29.2,12.5,446,0.778,620,0.485,400,0.308,0.476,0.542,20.6,3.5,5.7,6.8,35.0,0.63,0.33,2.72,10.1,111.0,105.1
,Josh Richardson,Phi,G,26.92,55,30.8,64.1,20.6,12.8,141,0.809,397,0.486,249,0.341,0.496,0.533,13.7,3.2,5.7,2.9,13.9,0.95,0.65,1.89,6.5,103.8,106.0
,Austin Rivers,Hou,G,28.04,68,23.4,48.8,15.6,8.3,111,0.703,231,0.498,270,0.356,0.517,0.542,8.8,2.6,5.7,1.7,10.0,0.72,0.16,0.74,5.8,110.2,107.2
,Quinn Cook,Lal,G,27.4,44,11.5,24.1,21.1,13.0,14,0.786,130,0.462,85,0.365,0.495,0.506,5.1,1.2,5.6,1.1,13.8,0.27,0.05,0.75,6.6,98.4,107.3
,Tyler Johnson,Pho,G,28.27,31,16.6,34.6,17.3,11.5,32,0.75,88,0.466,83,0.289,0.45,0.481,5.7,1.7,5.6,1.6,13.3,0.39,0.26,0.77,6.0,98.0,107.8
,Justin Robinson,Was,G,22.84,9,5.4,11.3,12.8,20.0,0,0.0,7,0.286,5,0.6,0.542,0.542,1.4,0.6,5.6,0.8,18.9,0.0,0.11,0.33,6.5,104.9,118.5
,Jeff Teague,Atl,G,32.18,25,20.8,43.2,18.3,17.5,53,0.887,135,0.43,30,0.333,0.442,0.512,7.7,2.2,5.6,4.0,27.3,0.76,0.24,1.6,7.8,105.4,113.4
,Fred VanVleet,Tor,G,26.47,54,35.7,74.4,21.7,12.2,198,0.848,399,0.434,374,0.39,0.507,0.553,17.6,3.8,5.6,6.6,27.7,1.8,0.31,2.2,8.5,112.9,102.6
,Brad Wanamaker,Bos,G,31.06,71,19.3,40.2,15.5,15.3,136,0.926,260,0.481,102,0.363,0.499,0.577,6.9,2.0,5.6,2.5,17.8,0.85,0.21,1.07,6.7,115.2,101.9
,Lou Williams,Lac,G,33.8,65,28.7,59.7,28.4,14.4,339,0.861,621,0.451,315,0.352,0.477,0.546,18.2,3.1,5.6,5.6,30.1,0.66,0.18,2.8,9.5,108.8,108.6
,Troy Daniels,Lal,G,29.09,41,11.1,23.2,16.1,5.2,16,0.625,46,0.478,112,0.357,0.519,0.527,4.2,1.1,5.5,0.3,4.1,0.2,0.07,0.22,4.0,107.6,106.5
,Luguentz Dort,Okc,G,21.32,36,22.8,47.5,14.2,8.3,53,0.792,118,0.475,101,0.297,0.461,0.503,6.8,2.3,5.5,0.8,4.6,0.89,0.11,0.61,4.1,102.4,100.9
,Frank Jackson,Nor,G,22.28,59,13.5,28.1,21.2,11.9,75,0.747,187,0.465,144,0.326,0.476,0.51,6.3,1.4,5.5,1.0,10.8,0.29,0.07,0.83,6.1,99.6,108.1
